Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-10-18 15:28:07,false,"Austin Cycling","30.19","1,268","01:50:21","147","175","16.4","34.4","1,506","1,640","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:00:51.1","7","87.8","01:49:17","02:10:47","353","895"
Cycling,2021-10-09 10:43:41,false,"Austin Cycling","21.20","999","01:11:06","161","178","17.9","26.1","1,391","1,394","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:04:07.8","5","89.6","01:10:54","01:12:20","709","852"
Cycling,2021-09-25 09:41:37,false,"Austin Cycling","26.04","1,143","01:38:56","148","180","15.8","33.5","1,552","1,375","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:03:37.0","6","93.2","01:37:31","01:53:48","591","1,037"
Cycling,2021-09-10 07:36:02,false,"Austin Cycling","40.04","1,620","02:27:49","144","174","16.3","33.8","1,890","1,926","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:17.2","9","91.4","00:NaN:NaN","03:06:12","409","864"
Cycling,2021-09-01 07:27:10,false,"Austin Cycling","31.74","1,229","02:08:36","136","171","14.8","34.1","2,421","2,720","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:06:57.0","7","91.4","02:06:08","02:44:03","406","874"
Cycling,2021-08-31 07:21:00,false,"Austin Cycling","33.08","1,519","02:06:06","153","181","15.7","35.0","2,516","2,087","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:10:19","7","93.2","00:NaN:NaN","02:34:35","434","1,480"
Cycling,2021-08-25 18:52:09,false,"Austin Cycling","21.00","1,001","01:20:18","154","176","15.7","34.9","1,289","1,293","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","89.6","No","00:03:55.5","5","95.0","01:19:33","01:32:09","449","818"
Cycling,2021-08-24 18:58:05,false,"Austin Cycling","25.06","1,278","01:36:58","158","182","15.5","33.1","1,562","1,647","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","89.6","No","00:00:19.2","6","93.2","01:36:20","01:54:47","427","862"
Cycling,2021-07-31 09:18:09,false,"Austin Cycling","15.54","750","00:57:30","153","178","16.2","29.3","823","794","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:02:04.4","4","95.0","00:NaN:NaN","01:01:33","594","866"
Cycling,2021-07-20 18:38:39,false,"Austin Cycling","22.34","1,008","01:23:26","151","178","16.1","33.6","1,188","1,188","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:08:15.7","5","91.4","01:22:35","01:41:48","385","867"
Cycling,2021-07-14 19:12:06,false,"Austin Cycling","16.06","734","00:58:46","151","179","16.4","29.7","843","827","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:03:38.9","4","89.6","00:57:34","01:10:49","555","864"
Cycling,2021-07-12 19:15:55,false,"Austin Cycling","20.96","829","01:14:45","144","170","16.8","28.2","1,119","968","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:03:48.6","5","86.0","01:14:15","01:19:11","688","1,074"
Cycling,2021-07-11 19:16:13,false,"Austin Cycling","13.14","600","00:49:28","148","173","15.9","34.2","643","945","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:13:58","3","89.6","00:48:48","01:01:09","421","860"
